"ID Client";"Nom Client";"Contact shipping";"# Téléphone";"Lun";"Mar";"Mer";"Jeu";"Ven";"Sam";"Dim";"Pickup début";"Pickup fin";"Closing time";"Note"
"302838";"022B2B";"";"";"X";"X";"X";"X";"X";"";"";"14h45";"";"15h45";"Fermeture de test : pickup + 1h"
"302839";"022B2C";"";"";"X";"X";"X";"X";"X";"";"";"14h45";"";"15h45";"Fermeture de test : pickup + 1h"
"302924";"ABRASIF JMB INC";"";"";"X";"X";"X";"X";"X";"";"";"15h";"";"16h";"Fermeture de test : pickup + 1h"
"303529";"ADM SPORT LEVIS";"";"";"X";"X";"X";"X";"X";"";"";"13h";"";"14h";"Fermeture de test : pickup + 1h"
"301225";"ALCO PREVENTION CANADA INC.";"";"";"X";"X";"X";"X";"X";"";"";"15h30";"";"16h30";"Fermeture de test : pickup + 1h"
"128700";"BIBLAIRIE G.G.C. LTEE";"";"";"X";"X";"X";"X";"X";"";"";"16h";"";"17h";"Fermeture de test : pickup + 1h"
"128704";"BIBLAIRIE GGC ( ADELF)";"";"";"X";"X";"X";"X";"X";"";"";"N/D";"";"N/D";""
"105370";"BIO SOLUTIONS CR INC";"";"";"X";"X";"X";"X";"X";"";"";"N/D";"";"17h";""
"302899";"BOUTIQUE KOZY";"";"";"X";"X";"X";"X";"X";"";"";"14h";"";"15h";"Fermeture de test : pickup + 1h"
"303089";"CAA QUÉBEC";"";"";"X";"X";"X";"X";"X";"";"";"16h";"";"17h";"Fermeture de test : pickup + 1h"
"101691";"CAMFILCANADA INC ( LAVAL )";"";"";"X";"X";"X";"X";"X";"";"";"13h";"";"14h";"Fermeture de test : pickup + 1h"
"111103";"CARSAN / EVP INC";"";"";"X";"X";"X";"X";"X";"";"";"15h";"";"16h";"Fermeture de test : pickup + 1h"
"302231";"CENTRE DE L'AUTO ÉLÉGANCE SIGNATURE";"";"";"X";"X";"X";"X";"X";"";"";"15h";"";"16h";"Fermeture de test : pickup + 1h"
"302150";"CLÉMENT B2C AU COLIS";"";"";"X";"X";"X";"X";"X";"";"";"14h45";"";"15h45";"Fermeture de test : pickup + 1h"
"301317";"COIFFERIE.COM";"";"";"X";"X";"X";"X";"X";"";"";"15h30";"";"16h30";"Fermeture de test : pickup + 1h"
"113335";"COMMONWEALTH PLYWOOD (QUEBEC)";"";"";"X";"X";"X";"X";"X";"";"";"16h";"";"17h";"Fermeture de test : pickup + 1h"
"169321";"CTRE DIST MED FRANCE DION ( PHARMACIE )";"";"";"X";"X";"X";"X";"X";"";"";"N/D";"";"N/D";""
"303332";"D-STRUCTURE";"";"";"X";"X";"X";"X";"X";"";"";"14h";"";"15h";"Fermeture de test : pickup + 1h"
"302193";"DLM INTERNATIONAL";"";"";"X";"X";"X";"X";"X";"";"";"15h30";"";"16h30";"Fermeture de test : pickup + 1h"
"301128";"DMS INDUSTRIEL";"";"";"X";"X";"X";"X";"X";"";"";"13h";"";"14h";"Fermeture de test : pickup + 1h"
"302771";"ELEGANZA ANJOU (106)";"";"";"X";"X";"X";"X";"X";"";"";"12h";"";"13h";"Fermeture de test : pickup + 1h"
"303161";"ELEGANZA FLEUR DE LYS";"";"";"X";"X";"X";"X";"X";"";"";"14h";"";"15h";"Fermeture de test : pickup + 1h"
"302088";"ENERGIE PLP ";"";"";"X";"X";"X";"X";"X";"";"";"Variable";"";"N/D";""
"303063";"ESTEL THE LABEL";"";"";"X";"X";"X";"X";"X";"";"";"15h30";"";"16h30";"Fermeture de test : pickup + 1h"
"169070";"ESTHETIQUE W.B. & C.F.A.C. INC";"";"";"";"";"";"X";"";"";"";"14h";"";"15h";"Fermeture de test : pickup + 1h"
"118910";"EXPEDITION CLUB JOUET";"";"";"X";"X";"X";"X";"X";"";"X";"15h";"";"Variable";"Pickup N/D : Dimanche"
"303177";"GOCHEAPGO B2C";"";"";"X";"X";"X";"X";"X";"";"";"14h";"";"15h";"Fermeture de test : pickup + 1h"
"129200";"GOURMET NUTRITION F.B.";"";"";"X";"X";"X";"X";"X";"";"";"15h15";"";"16h15";"Fermeture de test : pickup + 1h | 10H à 17H, ferme à 13h le vendredi"
"302761";"GROUPE MUST SOCIÉTÉ (CDM-LAVAL)";"";"";"X";"X";"X";"X";"X";"";"";"12h";"";"13h";"Fermeture de test : pickup + 1h"
"302827";"GROUPE MUST SOCIÉTÉ (QUÉBEC)";"";"";"X";"X";"X";"X";"X";"";"";"13h";"";"14h";"Fermeture de test : pickup + 1h"
"303582";"GROUPE PRÉFÉRÉ INC";"";"";"X";"X";"X";"X";"X";"";"";"11h";"";"12h";"Fermeture de test : pickup + 1h"
"300124";"GROUPE PRONATURE";"";"";"X";"X";"X";"X";"X";"";"";"N/D";"";"N/D";""
"161412";"GROUPE SANI-TECH INC";"";"";"X";"X";"X";"X";"X";"";"";"14h30";"";"15h30";"Fermeture de test : pickup + 1h"
"302993";"GROUPE SOURIS MINI B2C";"";"";"X";"X";"X";"X";"X";"";"";"15h30";"";"16h30";"Fermeture de test : pickup + 1h"
"164388";"GUIDES VOYAGES ULYSSE INC ( MAGASIN ) (ADELF)";"";"";"X";"X";"X";"X";"X";"";"";"N/D";"";"N/D";""
"303665";"IMAGINAIRE LAURIER SHIPSTATION";"";"";"X";"X";"X";"X";"X";"";"";"16h30";"";"17h30";"Fermeture de test : pickup + 1h"
"301631";"J.M. CLEMENT LTEE";"";"";"X";"X";"X";"X";"X";"";"";"14h45";"";"15h45";"Fermeture de test : pickup + 1h"
"303154";"KIAGO NUTRITION";"";"";"X";"X";"X";"X";"X";"";"";"09h";"";"10h";"Fermeture de test : pickup + 1h"
"303573";"L'ARRIÈRE BOUTIQUE FRIPERIE MODERNE INC.";"";"";"X";"X";"X";"X";"X";"";"";"N/D";"";"N/D";""
"302781";"LA CARTOUCHERIE";"";"";"X";"X";"X";"X";"X";"";"";"14h30";"";"15h30";"Fermeture de test : pickup + 1h"
"302036";"LASER PRO";"";"";"X";"X";"X";"X";"X";"";"";"14h30";"";"15h30";"Fermeture de test : pickup + 1h"
"303652";"LE VIGNOBLE DU DOMAINE ST-JACQUES";"";"";"";"X";"";"";"";"";"";"11h";"";"12h";"Fermeture de test : pickup + 1h"
"107683";"LES DOUCEURS D'ÉRABLE BIEN INC";"";"";"X";"X";"X";"X";"X";"";"";"N/D";"";"17h";""
"302089";"LES ÉDITIONS PASSE-TEMPS B2C";"";"";"X";"X";"X";"X";"X";"";"";"N/D";"";"N/D";""
"101736";"LIBRAIRIE L'ALPHABET ( ALQ )";"";"";"X";"X";"X";"X";"X";"";"";"N/D";"";"17h30";""
"158151";"LIBRAIRIE RAFFIN / ST-HUBERT";"";"";"X";"X";"X";"X";"X";"";"";"N/D";"";"N/D";""
"301834";"LINEN CHEST ANJOU #114";"";"";"X";"X";"X";"X";"X";"";"";"N/D";"";"N/D";""
"301272";"LIVOS CANADA";"";"";"X";"X";"X";"X";"X";"";"";"14h";"";"15h";"Fermeture de test : pickup + 1h"
"303564";"MAISON JACYNTHE SAINT-BRUNO";"";"";"X";"X";"X";"X";"";"";"";"14h30";"";"15h30";"Fermeture de test : pickup + 1h"
"303285";"MARECHALERIE BROMONT";"";"";"X";"X";"X";"X";"X";"";"";"14h";"";"15h";"Fermeture de test : pickup + 1h | Appeler si retard 450-534-2759"
"145971";"MIDLAND TRANSPORT LIMITED";"";"";"X";"X";"X";"X";"X";"";"";"14h";"";"15h";"Fermeture de test : pickup + 1h"
"302971";"MODE CHOC LÉVIS";"";"";"X";"X";"X";"X";"X";"";"";"15h";"";"16h";"Fermeture de test : pickup + 1h"
"301962";"MOMO SPORTS Inc";"";"";"X";"X";"X";"X";"X";"";"";"11h";"";"12h";"Fermeture de test : pickup + 1h"
"303047";"NESPRESSO RECYC. CAP. PU GAL. CAPITAL";"";"";"X";"X";"X";"X";"X";"X";"";"14h";"";"15h";"Fermeture de test : pickup + 1h"
"303046";"NESPRESSO RECYC. CAP. PU LAURIER";"";"";"X";"X";"X";"X";"X";"X";"";"14h";"";"15h";"Fermeture de test : pickup + 1h"
"302932";"OLEKA CANVAS";"";"";"X";"X";"X";"X";"X";"";"";"N/D";"";"15h";""
"302377";"ORTHOFAB USINE";"";"";"X";"X";"X";"X";"X";"";"";"14h25";"";"15h25";"Fermeture de test : pickup + 1h"
"302182";"PARIKART E-COM INC.";"";"";"X";"X";"X";"X";"X";"";"";"15h";"";"16h";"Fermeture de test : pickup + 1h | Porte sur le côté droit du bâtiment"
"303530";"PLANETTE";"";"";"X";"X";"X";"X";"X";"";"";"14h";"";"15h";"Fermeture de test : pickup + 1h"
"302659";"POPEYE'S STORE #55";"";"";"X";"X";"X";"X";"X";"";"";"13h30";"";"14h30";"Fermeture de test : pickup + 1h"
"303049";"POPEYE'S SUPPLEMENTS LEVIS-KENNEDY #0135";"";"";"X";"X";"X";"X";"X";"";"";"14h";"";"15h";"Fermeture de test : pickup + 1h"
"161423";"PRODUITS SANY DIV SOLUTIONS SUPERIEURES";"";"";"X";"X";"X";"X";"X";"";"";"N/D";"";"17h";""
"161428";"PRODUITS SANY DIV SOLUTIONS SUPERIEURES";"";"";"";"X";"";"X";"";"";"";"N/D";"";"17h";""
"302431";"REVÊTEMENT FINIPRO LAVAL";"";"";"X";"X";"X";"X";"X";"";"";"12h";"";"13h";"Fermeture de test : pickup + 1h"
"302730";"SAIL BURLINGTON";"";"";"X";"X";"X";"X";"X";"";"";"14h";"";"15h";"Fermeture de test : pickup + 1h"
"302731";"SAIL CAMBRIDGE";"";"";"X";"X";"X";"X";"X";"";"";"14h";"";"15h";"Fermeture de test : pickup + 1h"
